,Unnamed: 0,FDID,Fire dept name,HQ addr1,HQ addr2,HQ city,HQ state,HQ zip,Mail addr1,Mail addr2,Mail PO box,Mail city,Mail state,Mail zip,HQ phone,HQ fax,County,Dept Type,Organization Type,Website,Number Of Stations,Active Firefighters - Career,Active Firefighters - Volunteer,Active Firefighters - Paid per Call,Non-Firefighting - Civilian,Non-Firefighting - Volunteer,Primary agency for emergency mgmt,Full_Address,Coordinates_Firestation,Latitude,Longitude
369,369,13025,Imperial County Fire Department,2514 La Brucherie RD,,Imperial,CA,92251-9712,2514 La Brucherie RD,,,Imperial,CA,92251-9712,760-355-1191,760-355-1482,Imperial,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,5,28,8,32,2,0,,"2514 La Brucherie RD, Imperial, CA","(32.836055, -115.577759)",32.836055,-115.577759
370,370,14025,Independence Fire Protection District,200 S Jackson ST,,Independence,CA,93526,,,PO Box B,Independence,CA,93526-0602,760-878-2113,760-878-2116,Inyo,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,25,0,0,0,No,"200 S Jackson ST, Independence, CA","(36.802042, -118.19794)",36.802042,-118.19794
371,371,33100,Indian Wells Fire Service,44-900 El Dorado DR,,Indian Wells,CA,92210,44-900 El Dorado DR,,,Indian Wells,CA,92210,760-568-5252,760-568-5816,Riverside,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,15,10,0,0,0,,"44-900 El Dorado DR, Indian Wells, CA","(33.72303, -116.338365)",33.72303,-116.338365
372,372,33050,Indio Fire Service,46-990 Jackson ST,,Indio,CA,92201,46-990 Jackson ST,,,Indio,CA,92201,760-347-0756,760-775-3710,Riverside,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",,3,43,0,25,0,0,,"46-990 Jackson ST, Indio, CA","(33.708079, -116.21602)",33.708079,-116.21602
373,373,21025,Inverness Volunteer Fire Department,50 Inverness WAY,PO Box 469,Inverness,CA,94937,,,PO Box 469,Inverness,CA,94937-0469,415-669-7151,415-669-1010,Marin,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,1,21,0,1,0,Yes,"50 Inverness WAY, Inverness, CA","(38.096928, -122.854363)",38.096928,-122.854363
374,374,26555,"Inyo National Forest, & Bishop Field Office, BLM",873 N Main ST,,Bishop,CA,93514,873 N Main ST,,,Bishop,CA,93514,760-873-2497,760-873-2458,Inyo,Mostly career,Federal government (Executive branch agency fire department),,13,80,0,70,0,0,,"873 N Main ST, Bishop, CA","(37.370068, -118.396661)",37.370068,-118.396661
375,375,,Iowa Hill Fire Department,3350 Iowa Hill RD,,Iowa Hill,CA,95713,3350 Iowa Hill RD,,PO Box 176,Iowa Hill,CA,95713,530-277-3753,530-367-3498,Placer,Volunteer,Private or industrial fire brigade,,1,0,8,0,0,5,,"3350 Iowa Hill RD, Iowa Hill, CA","(39.10995, -120.857622)",39.10995,-120.857622
376,376,23915,Irish Beach Water District Volunteer Fire Department,15401 Forestview RD,,Manchester,CA,95459,15401 Forestview RD,,PO Box 67,Manchester,CA,95459,707-882-2931,707-882-3765,Mendocino,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,10,0,0,0,,"15401 Forestview RD, Manchester, CA","(39.021615, -123.677952)",39.021615,-123.677952
377,377,34055,Isleton Fire Department,100 Second ST,,Isleton,CA,95641,,,PO Box 716,Isleton,CA,95641-0716,916-777-7776,916-777-7790,Sacramento,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,1,27,0,0,0,Yes,"100 Second ST, Isleton, CA","(38.161633, -121.612621)",38.161633,-121.612621
378,378,03020,Jackson Fire Department,33 Broadway,,Jackson,CA,95642-2354,33 Broadway,,,Jackson,CA,95642-2354,209-256-4499,209-223-3141,Amador,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.ci.jackson.ca.us/fire_department.php,2,5,0,27,0,3,Yes,"33 Broadway, Jackson, CA","(38.347552, -120.772953)",38.347552,-120.772953
379,379,03070,Jackson Rancheria Fire Department,12222 New York Ranch RD,,Jackson,CA,95642-9407,12222 New York Ranch RD,,,Jackson,CA,95642-9407,209-223-8751,209-223-8637,Amador,Career,Private or industrial fire brigade,,1,9,0,0,1,0,Yes,"12222 New York Ranch RD, Jackson, CA","(38.386181, -120.734087)",38.386181,-120.734087
380,380,03015,Jackson Valley Fire Protection District,2701 Quiver DR,,Ione,CA,95640,,,PO Box 1309,Ione,CA,95640-1309,209-763-5848,209-763-5659,Amador,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,2,0,12,4,0,0,,"2701 Quiver DR, Ione, CA","(38.249872, -120.953826)",38.249872,-120.953826
381,381,55010,Jamestown Fire Protection District,18440 Striker CT,,Sonora,CA,95370-7555,18440 Striker CT,,,Sonora,CA,95370-7555,209-533-5118,209-533-5103,Tuolumne,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.tuolumnecounty.ca.gov/717/Fire-Department,1,5,0,3,0,0,Yes,"18440 Striker CT, Sonora, CA","(37.958382, -120.318772)",37.958382,-120.318772
382,382,53025,Junction City Volunteer Fire Department,Dutch Creek RD,,Junction City,CA,96048,,,PO Box 418,Junction City,CA,96048,530-623-4041,,Trinity,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,2,0,14,0,0,0,,"Dutch Creek RD, Junction City, CA","(40.69698, -123.04539)",40.69698,-123.04539
383,383,26020,June Lake Fire Protection District,2380 HWY 158,,June Lake,CA,93529,,,PO Box 144,June Lake,CA,93529,760-648-7390,760-648-6801,Mono,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,1,12,0,0,0,,"2380 HWY 158, June Lake, CA","(37.78307, -119.07319)",37.78307,-119.07319
384,384,11055,Kanawha Fire Protection District,1709 County Road D,,Willows,CA,95988-9641,1709 County Road D,,,Willows,CA,95988-9641,530-934-2672,,Glenn,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,18,0,0,5,,"1709 County Road D, Willows, CA","(39.51334, -122.24995)",39.51334,-122.24995
385,385,14030,Keeler Volunteer Fire Department,175 Old State HWY,,Keeler,CA,93530,,,PO Box 103,Keeler,CA,93530-0103,760-876-4339,,Inyo,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,2,0,0,10,No,"175 Old State HWY, Keeler, CA","(36.487923, -117.872924)",36.487923,-117.872924
386,386,17020,Kelseyville Fire Protection District,4020 Main ST,,Kelseyville,CA,95451-7410,4020 Main ST,,,Kelseyville,CA,95451-7410,707-279-4268,707-279-4422,Lake,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://kelseyvillefire.com/,2,12,1,0,1,2,Yes,"4020 Main ST, Kelseyville, CA","(38.978089, -122.837093)",38.978089,-122.837093
387,387,21030,Kentfield Fire Protection District,1004 Sir Francis Drake BLVD,,Kentfield,CA,94904,1004 Sir Francis Drake BLVD,,,Kentfield,CA,94904-1417,415-453-7464,415-453-4578,Marin,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.kentfieldfire.org/,1,13,6,0,2,0,Yes,"1004 Sir Francis Drake BLVD, Kentfield, CA","(37.956135, -122.547523)",37.956135,-122.547523
388,388,49090,Kenwood Fire Protection District,9045 Sowoma HWY,,Kenwood,CA,95452,,,PO Box 249,Kenwood,CA,95452-0249,707-833-2042,707-833-4412,Sonoma,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.kenwoodfire.com/,1,5,0,14,3,2,Yes,"9045 Sowoma HWY, Kenwood, CA","(38.418362, -122.550703)",38.418362,-122.550703
389,389,15010,Kern County Fire Department,5642 Victor ST,,Bakersfield,CA,93308-4056,5642 Victor ST,,,Bakersfield,CA,93308-4056,661-391-7000,661-399-2915,Kern,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.kerncountyfire.org/,47,535,0,0,80,0,Yes,"5642 Victor ST, Bakersfield, CA","(35.41029, -119.060477)",35.41029,-119.060477
390,390,45075,Keswick Volunteer Fire Company,16570 School ST,,Redding,CA,96001,,,PO Box 459,Shasta,CA,96087,530-246-3566,530-246-3533,Shasta,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,11,0,0,0,,"16570 School ST, Redding, CA","(40.62383, -122.462085)",40.62383,-122.462085
391,391,53030,Kettenpom Zenia Volunteer Fire Department,Peak RD,PO Box 100,Zenia,CA,95595-0100,,,PO Box 100,Zenia,CA,95595,707-923-9646,,Trinity,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,14,0,0,6,,"Peak RD, Zenia, CA","(40.15005, -123.47319)",40.15005,-123.47319
392,392,50150,Keyes Fire Protection District,5629 7TH ST,,Keyes,CA,95328,,,PO Box 577,Keyes,CA,95328-0577,209-634-7690,209-634-0659,Stanislaus,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,32,0,0,1,Yes,"5629 7TH ST, Keyes, CA","(37.55276, -120.91122)",37.55276,-120.91122
393,393,27050,King City Fire Department,422 Bassett ST,,King City,CA,93930,422 Bassett ST,,,King City,CA,93930-2908,831-385-3430,,Monterey,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,0,20,1,0,No,"422 Bassett ST, King City, CA","(36.211127, -121.128009)",36.211127,-121.128009
394,394,41110,King Mountain Volunteer Fire Department,13889 Skyline BLVD,,Woodside,CA,94062-4573,13889 Skyline BLVD,,,Woodside,CA,94062-4573,650-851-8897,,San Mateo,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.kmfd.org/,1,0,13,0,0,0,,"13889 Skyline BLVD, Woodside, CA","(37.436007, -122.320276)",37.436007,-122.320276
395,395,16015,Kings County Fire Department,280 N Campus DR,,Hanford,CA,93230-5923,280 N Campus DR,,,Hanford,CA,93230-5923,559-852-2881,559-582-8261,Kings,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.countyofkings.com/departments/fire-department,11,75,10,0,3,0,Yes,"280 N Campus DR, Hanford, CA","(36.32631, -119.66435)",36.32631,-119.66435
396,396,10045,Kingsburg Fire Department,1460 Marion ST,PO Box 2,Kingsburg,CA,93631,,,PO Box 2,Kingsburg,CA,93631-0002,559-419-0911,559-897-0366,Fresno,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cityofkingsburg-ca.gov/,2,13,0,17,0,0,Yes,"1460 Marion ST, Kingsburg, CA","(36.514374, -119.55187)",36.514374,-119.55187
397,397,02010,Kirkwood Volunteer Fire Department,33540 Loop RD,,Kirkwood,CA,95646,,,PO Box 247,Kirkwood,CA,95646-0247,209-258-4444,209-258-8727,Alpine,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,8,0,0,0,No,"33540 Loop RD, Kirkwood, CA","(38.689974, -120.071381)",38.689974,-120.071381
398,398,47043,Klamath River Volunteer Fire Company,30330 Walker RD,,Klamath River,CA,96050-9033,30330 Walker RD,,,Klamath River,CA,96050-9033,530-496-3546,,Siskiyou,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.klamathriverfire.org/,2,0,7,0,0,2,Yes,"30330 Walker RD, Klamath River, CA","(41.82186, -122.965932)",41.82186,-122.965932
399,399,12067,Kneeland Volunteer Fire Department,6201 Greenwood Heights,,Kneeland,CA,95549,6201 Greenwood Heights,,,Kneeland,CA,95549,707-442-3252,,Humboldt,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,10,0,0,0,,"6201 Greenwood Heights, Kneeland, CA","(40.774537, -124.002541)",40.774537,-124.002541
400,400,57050,Knights Landing Fire District,42115 Sixth ST,,Knights Landing,CA,95645,,,PO Box 578,Knights Landing,CA,95645-0578,530-735-6409,,Yolo,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://knightslandingfire.specialdistrict.org/,1,0,15,0,0,5,Yes,"42115 Sixth ST, Knights Landing, CA","(38.799115, -121.72206)",38.799115,-121.72206
401,401,19225,La Habra Heights Fire Department,1245 N Hacienda RD,,La Habra Heights,CA,90631-8366,1245 N Hacienda RD,,,La Habra Heights,CA,90631-8366,562-694-8283,562-694-3184,Los Angeles,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.lhhcity.org/,1,6,53,14,4,0,Yes,"1245 N Hacienda RD, La Habra Heights, CA","(33.94365, -117.96487)",33.94365,-117.96487
402,402,52029,La Honda Fire Brigade,484 La Honda RD,,La Honda,CA,94020,,,PO Box 97,La Honda,CA,94020-0097,650-747-0381,650-747-0763,San Mateo,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.lahondafire.org/,1,0,18,0,0,30,,"484 La Honda RD, La Honda, CA","(37.369175, -122.26357)",37.369175,-122.26357
403,403,37095,La Mesa Fire Department,8054 Allison AVE,,La Mesa,CA,91942-6531,8054 Allison AVE,,,La Mesa,CA,91942-6531,619-667-1355,619-667-1461,San Diego,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cityoflamesa.com/index.aspx?nid=752,3,43,0,0,5,0,No,"8054 Allison AVE, La Mesa, CA","(32.766256, -117.024138)",32.766256,-117.024138
404,404,33052,La Quinta Fire Service,44555 Adams ST,,La Quinta,CA,92253,44555 Adams ST,,,La Quinta,CA,92253-5939,760-564-4351,,Riverside,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",,3,24,12,0,1,0,No,"44555 Adams ST, La Quinta, CA","(33.725117, -116.286915)",33.725117,-116.286915
405,405,19096,La Tuna Canyon Fire & Rescue,10100 La Tuna Canyon RD,,La Tuna Canyon,CA,91352,9046 Old Buckboard LN,,,Sun Valley,CA,91352-2256,818-369-4269,,Los Angeles,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,7,0,0,0,Yes,"10100 La Tuna Canyon RD, La Tuna Canyon, CA","(34.23417, -118.35064)",34.23417,-118.35064
406,406,19095,La Verne Fire Department,2061 3RD ST,,La Verne,CA,91750-4404,2061 3RD ST,,,La Verne,CA,91750-4404,909-596-5991,909-596-8774,Los Angeles,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.lavernefire.org/ps.home.cfm?ID=1,3,34,20,0,0,0,Yes,"2061 3RD ST, La Verne, CA","(34.101069, -117.771117)",34.101069,-117.771117
407,407,30045,Laguna Beach Fire Department,505 Forest AVE,,Laguna Beach,CA,92651-2332,505 Forest AVE,,,Laguna Beach,CA,92651-2332,949-497-0700,949-497-0784,Orange,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.lagunabeachcity.net/cityhall/fire/stations/station1.asp,4,40,0,15,1,0,No,"505 Forest AVE, Laguna Beach, CA","(33.52121, -117.75587)",33.52121,-117.75587
408,408,17005,Lake County Fire Protection District,14815 Olympic DR,,Clearlake,CA,95422-9522,14815 Olympic DR,,,Clearlake,CA,95422-9522,707-994-2170,707-994-4861,Lake,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,6,24,25,0,3,0,Yes,"14815 Olympic DR, Clearlake, CA","(38.961085, -122.634795)",38.961085,-122.634795
409,409,33035,Lake Elsinore Fire Service,410 W Graham AVE,,Lake Elsinore,CA,92530,410 W Graham AVE,,,Lake Elsinore,CA,92530,951-674-2161,951-674-8461,Riverside,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",,3,55,20,0,0,0,,"410 W Graham AVE, Lake Elsinore, CA","(33.6691, -117.332421)",33.6691,-117.332421
410,410,18070,Lake Forest Fire Protection District,691-200 Janet Way,,Susanville,CA,96130,,,PO Box 2148,Susanville,CA,96130-2148,530-257-9593,,Lassen,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,12,0,0,0,Yes,"691-200 Janet Way, Susanville, CA","(40.432209, -120.744661)",40.432209,-120.744661
411,411,17060,Lake Pillsbury Fire Protection District,29501 Fuller DR,,Potter Valley,CA,95469-9514,29501 Fuller DR,,,Potter Valley,CA,95469-9514,707-743-1625,,Lake,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",http://www.lakepillsburyfire.com/,1,0,10,9,0,10,Yes,"29501 Fuller DR, Potter Valley, CA","(39.4591, -122.971184)",39.4591,-122.971184
412,412,47910,Lake Shastina Fire Department,16309 Everhart DR,,Weed,CA,96094,16309 Everhart DR,,,Weed,CA,96094,530-938-3161,530-938-3179,Siskiyou,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,0,20,0,0,,"16309 Everhart DR, Weed, CA","(41.528354, -122.363587)",41.528354,-122.363587
413,413,09065,Lake Valley Fire Protection District,2211 Keetak ST,,South Lake Tahoe,CA,96150-5103,2211 Keetak ST,,,South Lake Tahoe,CA,96150-5103,530-577-3737,530-577-3739,El Dorado,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.lakevalleyfire.org/,3,28,15,0,2,0,Yes,"2211 Keetak ST, South Lake Tahoe, CA","(38.848727, -120.018962)",38.848727,-120.018962
414,414,45960,Lakehead Volunteer Fire Company,20808 Mammoth DR,PO Box 138,Lakehead,CA,96051,20808 Mammoth DR,,PO Box 138,Lakehead,CA,96051,530-238-2129,,Shasta,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,11,0,0,4,,"20808 Mammoth DR, Lakehead, CA","(40.88994, -122.385335)",40.88994,-122.385335
415,415,17025,Lakeport Fire Protection District,445 N Main ST,,Lakeport,CA,95453-4809,445 N Main ST,,,Lakeport,CA,95453-4809,707-263-4396,707-262-1283,Lake,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",http://www.lakeportfire.com/,2,12,23,0,1,0,Yes,"445 N Main ST, Lakeport, CA","(39.045072, -122.915592)",39.045072,-122.915592
416,416,37090,Lakeside Fire Protection District,12216 Lakeside AVE,,Lakeside,CA,92040-1715,12216 Lakeside AVE,,,Lakeside,CA,92040-1715,619-390-2350,619-443-1568,San Diego,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://lakesidefire.net/,4,52,0,0,4,0,No,"12216 Lakeside AVE, Lakeside, CA","(32.866739, -116.928046)",32.866739,-116.928046
417,417,49095,Lakeville Volunteer Fire Department,5100 Lakeville HWY,,Petaluma,CA,94954-9519,5100 Lakeville HWY,,,Petaluma,CA,94954-9519,707-762-2075,,Sonoma,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,12,0,0,0,,"5100 Lakeville HWY, Petaluma, CA","(38.21231, -122.549337)",38.21231,-122.549337
418,418,32030,LaPorte Volunteer Fire Department,2181 Cedar LN,,La Porte,CA,95981,,,PO Box 335,Clipper Mills,CA,95930-0335,530-675-2557,,Plumas,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,6,0,0,2,No,"2181 Cedar LN, La Porte, CA","(39.683177, -120.989684)",39.683177,-120.989684
419,419,21035,Larkspur Fire Department,400 Magnolia AVE,,Larkspur,CA,94939,400 Magnolia AVE,,,Larkspur,CA,94939-2035,415-927-5007,415-927-5131,Marin,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",,2,18,10,0,0,0,Yes,"400 Magnolia AVE, Larkspur, CA","(37.934332, -122.535316)",37.934332,-122.535316
420,420,18555,Lassen National Forest Fire & Aviation,2550 Riverside DR,,Susanville,CA,96130,2550 Riverside DR,,,Susanville,CA,96130,530-257-2151,530-252-6428,Lassen,Career,Federal government (Executive branch agency fire department),https://www.r5.fs.fed.us/lassen/fire/,10,40,0,0,0,0,,"2550 Riverside DR, Susanville, CA","(40.410435, -120.63991)",40.410435,-120.63991
421,421,39055,Lathrop-Manteca Fire District,19001 Somerston PKWY,,Lathrop,CA,95330,19001 Somerston PKWY,,,Lathrop,CA,95330-9811,209-941-5100,209-941-5115,San Joaquin,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.lmfire.org/,5,41,0,22,3,10,Yes,"19001 Somerston PKWY, Lathrop, CA","(37.787234, -121.323109)",37.787234,-121.323109
422,422,10050,Laton CSD Volunteer Fire Department,20799 S Fowler AVE,,Laton,CA,93242,,,PO Box 447,Laton,CA,93242-0447,559-923-4870,559-923-9501,Fresno,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,8,0,0,0,Yes,"20799 S Fowler AVE, Laton, CA","(36.428962, -119.686098)",36.428962,-119.686098
423,423,01065,Lawrence Livermore Fire Department,7000 E L-388 AVE,,Livermore,CA,94550,7000 E L-388 AVE,,PO Box 808,Livermore,CA,94550,925-422-5194,925-422-8710,Alameda,Career,State government (includes state forest fire agencies and state institution fire departments),,2,45,0,0,25,0,,"7000 E L-388 AVE, Livermore, CA","(37.682018, -121.768374)",37.682018,-121.768374
424,424,26025,Lee Vining Volunteer Fire Department,55 Mattly AVE,,Lee Vining,CA,93541,,,PO Box 352,Lee Vining,CA,93541-0352,760-647-6400,760-647-1055,Mono,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,17,0,0,0,Yes,"55 Mattly AVE, Lee Vining, CA","(37.957971, -119.119764)",37.957971,-119.119764
425,425,23115,Leggett Valley Fire And Rescue,65550 S Drive Thru Tree RD,PO Box 191,Leggett,CA,95585-0191,,,PO Box 191,Leggett,CA,95585-0191,707-925-6334,,Mendocino,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,7,0,0,1,Yes,"65550 S Drive Thru Tree RD, Leggett, CA","(39.865486, -123.714776)",39.865486,-123.714776
426,426,37100,Lemon Grove Fire Department,7853 Central AVE,,Lemon Grove,CA,91945-2541,3232 Main ST,,,Lemon Grove,CA,91945,619-825-3835,619-825-3844,San Diego,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,20,0,0,1,0,,"7853 Central AVE, Lemon Grove, CA","(32.738763, -117.029988)",32.738763,-117.029988
427,427,16020,Lemoore Volunteer Fire Department,210 Fox ST,,Lemoore,CA,93245-2654,711 W Cinnamon DR,,,Lemoore,CA,93245-9587,559-924-6744,559-924-6743,Kings,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,2,0,35,0,2,0,Yes,"210 Fox ST, Lemoore, CA","(36.300766, -119.786075)",36.300766,-119.786075
428,428,53010,Lewiston Fire Department,200 Texas AVE,,Lewiston,CA,96052,,,PO Box 164,Lewiston,CA,96052-0164,530-778-3711,,Trinity,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,6,0,0,0,No,"200 Texas AVE, Lewiston, CA","(40.698035, -122.806145)",40.698035,-122.806145
429,429,39010,Liberty Rural County Fire Protection District,24124 N Bruella RD,,Acampo,CA,95220-9620,24124 N Bruella RD,,,Acampo,CA,95220-9620,209-339-1329,209-333-2916,San Joaquin,Mostly volunteer,Other,,1,7,0,12,1,2,No,"24124 N Bruella RD, Acampo, CA","(38.205651, -121.20729)",38.205651,-121.20729
430,430,25050,Likely Volunteer Fire Protection District,3275 Highway 395,,Likely,CA,96116,,,PO Box 515,Likely,CA,96116-0515,530-233-4817,530-233-5190,Modoc,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,2,0,15,0,0,7,Yes,"3275 Highway 395, Likely, CA","(41.230729, -120.503918)",41.230729,-120.503918
431,431,58005,Linda Fire Protection District,1286 Scales AVE,,Marysville,CA,95901-6117,1286 Scales AVE,,,Marysville,CA,95901-6117,530-743-1553,530-741-4172,Yuba,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,3,13,0,21,1,0,No,"1286 Scales AVE, Marysville, CA","(39.122028, -121.567759)",39.122028,-121.567759
432,432,39040,Linden-Peters Rural County Fire Protection District,17725 E Highway 26,,Linden,CA,95236-9785,17725 E Highway 26,,,Linden,CA,95236-9785,209-887-3710,209-887-2821,San Joaquin,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,14,5,0,1,0,Yes,"17725 E Highway 26, Linden, CA","(38.016605, -121.09905)",38.016605,-121.09905
433,433,54020,Lindsay Fire Department,185 N Gale Hill,PO Box 369,Lindsay,CA,93247-0369,,,PO Box 369,Lindsay,CA,93247-0369,559-562-2511,559-562-7126,Tulare,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.linday.ca.us,1,3,20,0,0,1,,"185 N Gale Hill, Lindsay, CA","(36.204315, -119.088441)",36.204315,-119.088441
434,434,23090,Little Lake Fire Protection District,74 E Commercial ST,,Willits,CA,95490-3102,74 E Commercial ST,,,Willits,CA,95490-3102,707-459-6271,,Mendocino,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.littlelakefire.org/,2,3,40,3,1,0,No,"74 E Commercial ST, Willits, CA","(39.41253, -123.35388)",39.41253,-123.35388
435,435,18021,Little Valley Volunteer Fire Department,653-305 Seymour DR,,Little Valley,CA,96056-8685,653-305 Seymour DR,,,Little Valley,CA,96056-8685,000-000-0000,,Lassen,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,6,0,0,3,,"653-305 Seymour DR, Little Valley, CA","(40.89521, -121.18051)",40.89521,-121.18051
436,436,03022,Lockwood Fire Protection District,23141 Shakeridge  RD,PO Box 221,Volcano,CA,95689,23141 Shakeridge  RD,PO Box 221,PO Box ,Volcano,CA,95689,209-295-8416,,Amador,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,2,0,13,0,0,20,,"23141 Shakeridge  RD, Volcano, CA","(38.45815, -120.65711)",38.45815,-120.65711
437,437,39045,Lodi Fire Department,210 W Elm St,,Lodi,CA,95240,,,PO Box 3006,Lodi,CA,95241-1910,209-333-6739,209-333-6844,San Joaquin,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.lodi.gov/,4,55,0,0,2,0,Yes,"210 W Elm St, Lodi, CA","(38.135168, -121.275715)",38.135168,-121.275715
438,438,36125,Loma Linda Fire Department,25541 Barton RD,,Loma Linda,CA,92354-3125,25541 Barton RD,,,Loma Linda,CA,92354-3125,909-799-2850,909-799-2891,San Bernardino,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",,2,28,0,0,4,0,Yes,"25541 Barton RD, Loma Linda, CA","(34.047958, -117.246892)",34.047958,-117.246892
439,439,58008,Loma Rica/Browns Valley CSD,11485 Loma Rica Rd,,Marysville,CA,95901,11485 Loma Rica Rd,,,Marysville,CA,95901,530-741-0755,530-743-1654,Yuba,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://lrbvfire.org/,1,0,10,0,0,5,,"11485 Loma Rica Rd, Marysville, CA","(39.313299, -121.413099)",39.313299,-121.413099
440,440,42015,Lompoc Fire Department,115 S G ST,,Lompoc,CA,93436,115 S G ST,,,Lompoc,CA,93436-6817,805-736-4513,805-735-4256,Santa Barbara,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",,2,29,0,0,1,0,Yes,"115 S G ST, Lompoc, CA","(34.638281, -120.456883)",34.638281,-120.456883
441,441,14035,Lone Pine Fire Department,130 Jackson ST,,Lone Pine,CA,93545,,,PO Box 1007,Lone Pine,CA,93545-1007,760-876-4626,760-876-4000,Inyo,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,2,0,0,35,0,0,Yes,"130 Jackson ST, Lone Pine, CA","(36.60629, -118.06226)",36.60629,-118.06226
